df,1 ,2 ,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,,180.1,270.1,328.5,371.2,404.4,431.6,454.4,474.0,491.1,506.3,520.0,532.4,543.6,554.0,563.6,,580.9,,596.0,,609.5,,621.7,,632.6,,642.7,,,,660.6,,668.5,,676.0,,683.0,,689.6,,,,,,,,,,717.8,,,,,,,,,,740.2,,,,,,,,,,758.8,,,,,,,,,,774.5,,,,,,,,,,788.2,,,,,,,,,,800.3
2,,19.93,26.97,31.60,35.02,37.73,39.95,41.83,43.46,44.89,46.16,47.31,48.35,49.30,50.17,50.99,,52.45,,53.74,,54.89,,55.92,,56.86,,57.73,,,,59.26,,59.95,,60.59,,61.19,,61.76,,,,,,,,,,64.19,,,,,,,,,,66.13,,,,,,,,,,67.74,,,,,,,,,,69.10,,,,,,,,,,70.29,,,,,,,,,,71.35
3,,10.55,13.50,15.45,16.91,18.06,19.01,19.83,20.53,21.15,21.70,22.20,22.66,23.08,23.46,23.82,,24.46,,25.03,,25.54,,26.00,,26.42,,26.80,,,,27.48,,27.79,,28.07,,28.34,,28.60,,,,,,,,,,29.68,,,,,,,,,,30.55,,,,,,,,,,31.27,,,,,,,,,,31.88,,,,,,,,,,32.42,,,,,,,,,,32.90
4,,7.316 ,9.814 ,11.06,11.99,12.74,13.35,13.88,14.33,14.74,15.10,15.42,15.72,15.99,16.24,16.48,,16.90,,17.28,,17.61,,17.91,,18.19,,18.44,,,,18.89,,19.09,,19.28,,19.46,,19.63,,,,,,,,,,20.36,,,,,,,,,,20.93,,,,,,,,,,21.42,,,,,,,,,,21.83,,,,,,,,,,22.18,,,,,,,,,,22.50
5,,6.751 ,8.196 ,9.141 ,9.847 ,10.41,10.88,11.28,11.63,11.93,12.21,12.46,12.69,12.90,13.09,13.27,,13.60,,13.89,,14.14,,14.38,,14.59,,14.79,,,,15.13,,15.29,,15.44,,15.58,,15.71,,,,,,,,,,16.27,,,,,,,,,,16.72,,,,,,,,,,17.09,,,,,,,,,,17.41,,,,,,,,,,17.69,,,,,,,,,,17.94
6,,6.105 ,7.306 ,8.088 ,8.670 ,9.135 ,9.522 ,9.852 ,10.14,10.40,10.63,10.83,11.02,11.20,11.36,11.51,,11.78,,12.02,,12.23,,12.43,,12.61,,12.77,,,,13.06,,13.19,,13.32,,13.43,,13.54,,,,,,,,,,14.02,,,,,,,,,,14.40,,,,,,,,,,14.71,,,,,,,,,,14.98,,,,,,,,,,15.21,,,,,,,,,,15.43
7,,5.699 ,6.750 ,7.429 ,7.935 ,8.339 ,8.674 ,8.961 ,9.211 ,9.433 ,9.632 ,9.812 ,9.977 ,10.13,10.27,10.40,,10.64,,10.85,,11.03,,11.21,,11.36,,11.50,,,,11.76,,11.88,,11.99,,12.09,,12.18,,,,,,,,,,12.60,,,,,,,,,,12.93,,,,,,,,,,13.21,,,,,,,,,,13.44,,,,,,,,,,13.65,,,,,,,,,,13.84
8,,5.420 ,6.370 ,6.981 ,7.435 ,7.797 ,8.097 ,8.354 ,8.578 ,8.777 ,8.955 ,9.117 ,9.265 ,9.401 ,9.527 ,9.644 ,,9.857 ,,10.04,,10.22,,10.37,,10.51,,10.64,,,,10.87,,10.97,,11.07,,11.16,,11.25,,,,,,,,,,11.63,,,,,,,,,,11.93,,,,,,,,,,12.18,,,,,,,,,,12.39,,,,,,,,,,12.58,,,,,,,,,,12.75
9,,5.218 ,6.096 ,6.657 ,7.074 ,7.405 ,7.680 ,7.915 ,8.120 ,8.303 ,8.466 ,8.614 ,8.749 ,8.874 ,8.990 ,9.097 ,,9.292 ,,9.465 ,,9.620,,9.761,,9.890,,10.01,,,,10.22,,10.32,,10.41,,10.49,,10.58,,,,,,,,,,10.92,,,,,,,,,,11.20,,,,,,,,,,11.43,,,,,,,,,,11.63,,,,,,,,,,11.80,,,,,,,,,,11.96
10,,5.065 ,5.888 ,6.412 ,6.800 ,7.109 ,7.365 ,7.584 ,1.718 ,7.944 ,8.096 ,8.234 ,8.360 ,8.476 ,8.583 ,8.683 ,,8.865 ,,9.026 ,,9.170,,9.302,,9.422,,9.532,,,,9.730,,9.820,,9.904,,9.983,,10.06,,,,,,,,,,10.38,,,,,,,,,,10.64,,,,,,,,,,10.86,,,,,,,,,,11.04,,,,,,,,,,11.20,,,,,,,,,,11.35
11,,4.945 ,3.727 ,6.222 ,6.588 ,6.878 ,7.119 ,7.325 ,7.505 ,7.664 ,7.807 ,7.937 ,8.055 ,8.164 ,8.265 ,8.359 ,,8.530 ,,8.682 ,,8.818,,8.941,,9.055,,9.159,,,,9.345,,9.430,,9.509,,9.583,,9.654,,,,,,,,,,9.957,,,,,,,,,,10.20,,,,,,,,,,10.41,,,,,,,,,,10.59,,,,,,,,,,10.74,,,,,,,,,,10.88
12,,4.349 ,5.597 ,6.068 ,6.416 ,6.693 ,6.922 ,7.118 ,7.288 ,7.439 ,7.575 ,7.697 ,7.810 ,7.914 ,8.009 ,8.099 ,,8.261 ,,8.405 ,,8.534,,8.652,,8.759,,8.858,,,,9.036,,9.116,,9.191,,9.262,,9.328,,,,,,,,,,9.617,,,,,,,,,,9.850,,,,,,,,,,10.04,,,,,,,,,,10.21,,,,,,,,,,10.36,,,,,,,,,,10.49
13,,4.770 ,5.490 ,5.943 ,6.277 ,6.541 ,6.760 ,6.947 ,7.111 ,7.255 ,7.384 ,7.502 ,7.609 ,7.708 ,7.800 ,7.886 ,,8.040 ,,8.173 ,,8.302,,8.414,,8.516,,8.611,,,,8.781,,8.857,,8.929,,8.997,,9.061,,,,,,,,,,9.337,,,,,,,,,,9.560,,,,,,,,,,9.747,,,,,,,,,,9.907,,,,,,,,,,10.05,,,,,,,,,,10.17
