df,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,32 ,33 ,34 ,35 ,36 ,37 ,38 ,39 ,40 ,41 ,42 ,43 ,44 ,45 ,46 ,47 ,48 ,49 ,50 ,51 ,52 ,53 ,54 ,55 ,56 ,57 ,58 ,59 ,60 ,61 ,62 ,63 ,64 ,65 ,66 ,67 ,68 ,69 ,70 ,71 ,72 ,73 ,74 ,75 ,76 ,77 ,78 ,79 ,80 ,81 ,82 ,83 ,84 ,85 ,86 ,87 ,88 ,89 ,90 ,91 ,92 ,93 ,94 ,95 ,96 ,97 ,98 ,99 ,100 
1 ,,90.024 ,135.04,164.26,185.58,202.21,215.77,227.7,236.97,245.54,253.15,259.98,266.17,271.81,277.00,281.80,286.26,290.43,294.33,298.00,,304.7,,310.8,,316.3,,321.3,,326.0,,330.3,,334.3,,338.0,,341.5,,344.8,,,,,,,,,,358.9,,,,,,,,,,370.1,,,,,,,,,,379.4,,,,,,,,,,387.3,,,,,,,,,,394.1,,,,,,,,,,400.1
2 ,,14.036 ,19.019 ,22.294 ,24.717 ,26.629 ,28.201 ,29.530 ,30.679 ,31.689 ,32.589 ,33.398 ,34.134 ,24.806 ,35.426 ,36.000 ,36.534 ,37.034 ,37.502 ,37.943 ,,38.76,,39.49,,40.15,,40.76,,41.32,,41.34,,42.33,,42.78,,43.21,,43.61,,,,,,,,,,45.33,,,,,,,,,,46.70,,,,,,,,,,47.83,,,,,,,,,,48.80,,,,,,,,,,49.64,,,,,,,,,,50.38
3 ,,8.260 ,10.619 ,12.170 ,13.324 ,14.241 ,14.998 ,15.641 ,16.199 ,16.691 ,17.130 ,17.526 ,17.887 ,18.217 ,18.522 ,18.805 ,19.068 ,19.315 ,19.546 ,19.765 ,,20.17,,20.53,,20.86,,21.16,,21.44,,21.70,,21.95,,22.17,,22.39,,22.59,,,,,,,,,,23.45,,,,,,,,,,24.13,,,,,,,,,,24.71,,,,,,,,,,25.19,,,,,,,,,,25.67,,,,,,,,,,25.99
4 ,,6.511 ,8.120 ,9.173 ,9.958 ,10.583 ,11.101 ,11.542 ,11.925 ,12.264 ,12.567 ,12.840 ,13.090 ,13.318 ,13.530 ,13.726 ,13.909 ,14.081 ,14.242 ,14.394 ,,14.68,,14.93,,15.16,,15.37,,15.57,,15.75,,15.92,,44.059 ,,16.23,,16.37,,,,,,,,,,16.98,,,,,,,,,,17.46,,,,,,,,,,17.86,,,,,,,,,,18.20,,,,,,,,,,18.50,,,,,,,,,,29.88
5 ,,5.702 ,6.976 ,7.804 ,8.421 ,8.913 ,9.321 ,9.669 ,9.971 ,10.239 ,10.479 ,10.696 ,10.894 ,11.076 ,11.244 ,11.400 ,11.545 ,11.682 ,11.811 ,11.932 ,,12.16,,12.36,,12.54,,12.71,,12.87,,43.874 ,,13.15,,13.28,,13.40,,13.52,,,,,,,,,,14.00,,,,,,,,,,14.39,,,,,,,,,,14.72,,,,,,,,,,14.99,,,,,,,,,,15.23,,,,,,,,,,15.45
6 ,,9.243 ,6.331 ,7.033 ,7.556 ,7.972 ,8.318 ,8.612 ,8.869 ,9.097 ,9.300 ,9.485 ,9.653 ,9.808 ,9.951 ,10.084 ,10.208 ,10.325 ,10.434 ,10.538 ,,10.73,,10.91,,43.993 ,,11.21,,11.34,,11.47,,11.58,,11.69,,11.80,,11.90,,,,,,,,,,12.31,,,,,,,,,,12.65,,,,,,,,,,12.92,,,,,,,,,,13.16,,,,,,,,,,13.37,,,,,,,,,,13.55
7 ,,4.949 ,5.919 ,6.542 ,7.005 ,7.373 ,7.678 ,7.939 ,8.166 ,8.367 ,8.548 ,8.711 ,8.860 ,8.997 ,9.124 ,9.242 ,9.353 ,9.456 ,9.553 ,9.645 ,,9.815 ,,9.970 ,,44.145 ,,10.24,,10.36,,10.47,,10.58,,10.67,,10.77,,10.85,,,,,,,,,,11.23,,,,,,,,,,11.52,,,,,,,,,,11.77,,,,,,,,,,11.99,,,,,,,,,,12.17,,,,,,,,,,12.34
8 ,,4.745 ,5.635 ,6.204 ,6.625 ,6.959 ,7.237 ,7.474 ,7.680 ,7.863 ,8.027 ,8.176 ,8.311 ,8.436 ,8.552 ,8.659 ,8.760 ,8.854 ,3.943 ,9.027 ,,9.182 ,,9.322 ,,9.450 ,,9.569 ,,9.678 ,,9.779 ,,9.874 ,,9.964 ,,43.961 ,,10.13,,,,,,,,,,10.47,,,,,,,,,,10.75,,,,,,,,,,10.97,,,,,,,,,,11.17,,,,,,,,,,11.34,,,,,,,,,,11.49
9 ,,4.596 ,5.428 ,5.957 ,6.347 ,6.657 ,6.915 ,7.134 ,7.325 ,7.494 ,7.646 ,7.784 ,7.910 ,8.025 ,8.132 ,8.232 ,8.325 ,8.412 ,8.495 ,8.573 ,,8.717 ,,8.847 ,,8.966 ,,9.075 ,,9.177 ,,9.271 ,,9.360 ,,9.443 ,,9.521 ,,9.594 ,,,,,,,,,,9.912 ,,,,,,,,,,10.17,,,,,,,,,,10.38,,,,,,,,,,10.57,,,,,,,,,,10.73,,,,,,,,,,10.87
10 ,,4.482 ,5.270 ,5.769 ,6.136 ,6.428 ,6.669 ,6.875 ,7.054 ,7.213 ,7.356 ,7.485 ,7.603 ,7.712 ,7.812 ,7.306 ,7.993 ,8.075 ,8.153 ,8.226 ,,8.361 ,,8.483 ,,8.595 ,,8.698 ,,8.794 ,,8.883 ,,8.966 ,,9.044 ,,9.117 ,,9.187 ,,,,,,,,,,9.486 ,,,,,,,,,,9.726 ,,,,,,,,,,9.927 ,,,,,,,,,,44.114 ,,,,,,,,,,10.25,,,,,,,,,,10.39
