df,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1,,35.99,54.00,65.69,74.22,80.87,86.29,90.85,94.7,98.20,101.3,104.0,106.5,108.8,110.8,112.7,,116.2,,119.2,,121.9,,124.3,,126.5,,128.6,,130.4,,132.1,,133.7,,135.2,,136.6,,137.9,,,,,,,,,,143.6,,,,,,,,,,148.1,,,,,,,,,,151.8,,,,,,,,,,154.9,,,,,,,,,,157.7,,,,,,,,,,160.0
2,,8.776,11.94,14.01,15.54,16.75,17.74,18.58,19.31,19.95,20.52,21.03,21.49,21.91,22.30,22.67,,23.32,,23.89,,24.41,,24.87,,25.29,,25.67,,26.03,,26.35,,26.66,,26.95,,27.22,,27.47,,,,,,,,,,28.55,,,,,,,,,,29.42,,,,,,,,,,30.13,,,,,,,,,,30.74,,,,,,,,,,31.27,,,,,,,,,,31.74
3,,5.907,7.661,8.808,9.660,10.34,10.89,11.37,11.78,12.14,12.46,12.75,13.01,13.26,13.48,13.69,,14.06,,14.39,,14.69,,14.95,,15.19,,15.41,,15.62,,15.81,,15.99,,16.15,,16.31,,16.46,,,,,,,,,,17.08,,,,,,,,,,17.59,,,,,,,,,,18.00,,,,,,,,,,18.36,,,,,,,,,,18.67,,,,,,,,,,18.95
4,,4.943,6.244,7.088,7.716,8.213,8.625,8.976,9.279,9.548,9.788,10.01,10.20,10.39,10.55,10.71,,10.99,,11.23,,11.46,,11.66,,11.84,,12.00,,12.16,,12.30,,12.44,,12.56,,12.68,,12.79,,,,,,,,,,13.27,,,,,,,,,,13.65,,,,,,,,,,13.96,,,,,,,,,,14.23,,,,,,,,,,14.47,,,,,,,,,,14.63
5,,4.474,5.558,6.257,6.775,7.186,7.527 ,7.816,8.068,8.291 ,8.490,8.670,8.834,8.984,9.124,9.253,,9.486,,9.693,,9.878,,10.01,,10.20,,10.34,,10.47,,10.59,,10.70,,10.80,,10.91,,11.00,,,,,,,,,,11.40,,,,,,,,,,11.72,,,,,,,,,,11.99,,,,,,,,,,12.21,,,,,,,,,,12.41,,,,,,,,,,12.59
6,,4.199,5.158,5.772,6.226,6.586,6.884,7.138,7.359,7.554,7.723 ,7.887,8.031,8.163,8.286,8.399,,8.605,,8.787,,8.949,,9.097,,9.231,,9.355,,9.469,,9.575,,9.674,,9.767,,9.855,,9.938,,,,,,,,,,10.30,,,,,,,,,,10.58,,,,,,,,,,10.81,,,,,,,,,,11.02,,,,,,,,,,11.19,,,,,,,,,,11.35
7,,4.018,4.397,5.455,5.868,6.194,6.464,6.695,6.895,7.072,7.230,7.373 ,7.504,7.624,7.738 ,7.839,,8.025,,8.191,,8.339,,8.473,,8.595,,8.708,,8.812,,8.909,,8.999,,9.084,,9.164,,9.239,,,,,,,,,,9.563,,,,,,,,,,9.822,,,,,,,,,,10.04,,,,,,,,,,10.23,,,,,,,,,,10.38,,,,,,,,,,10.53
8,,3.892,4.714 ,9.233,5.616,5.919,6.169,6.382,6.568,6.732,6.879,7.011,7.132,7.204,7.347,7.443,,7.616,,7.769,,7.907,,8.031,,8.145,,8.250,,8.346,,8.436,,8.520,,8.599,,8.673,,8.743,,,,,,,,,,9.044,,,,,,,,,,9.286,,,,,,,,,,9.487,,,,,,,,,,9.660,,,,,,,,,,9.810,,,,,,,,,,9.944
9,,3.797,4.578 ,5.069,5.430,5.715,5.950,6.151,6.325,6.479,6.617,6.742,6.856,6.961,7.058,7.148,,7.311 ,,7.455,,7.585,,7.702,,7.809,,7.308,,7.999,,8.084,,8.163,,8.237,,8.307,,8.373,,,,,,,,,,8.657,,,,,,,,,,8.885,,,,,,,,,,9.076,,,,,,,,,,9.238,,,,,,,,,,9.381,,,,,,,,,,9.507
10,,3.725,4.474,4.943,9.287,5.558,5.782,5.972,6.138,6.285,6.416,6.534,6.643,6.742,6.834,6.920,,7.075,,7.212,,7.335,,7.447,,7.549,,7.643,,7.729 ,,7.810,,7.885,,7.956,,8.023,,8.086,,,,,,,,,,8.356,,,,,,,,,,8.574,,,,,,,,,,8.755,,,,,,,,,,8.911,,,,,,,,,,9.046,,,,,,,,,,9.167
